volume,issue,start page,end page,year,doi,title,authors
1,25,163,168,1876,10.1155/1876/64639,Bibliographical Record,"Mann, B. Pickman"
1,13,65,68,1875,10.1155/1875/65710,On the Relation Between Europpean and American Noctuina,
1,19,113,115,1875,10.1155/1875/67956,On a Supposed Case of Seasonal Dimorphism Among Diptera,"Sacken, C. R. Osten"
1,6,23,24,1874,10.1155/1874/69038,Bibliographical Record,"Mann, B. Pickman"
1,26,169,171,1876,10.1155/1876/69213,Synoptical Tables for Determining N. A. Insects. Orthoptera,"Scudder, Samuel H."
1,13,70,72,1875,10.1155/1875/70383,Bibliographical Record,"Mann, B. Pickman"
1,19,120,120,1875,10.1155/1875/71628,Proceedings of the Club,
1,7,27,28,1874,10.1155/1874/72701,Bibliographical Record,"Mann, B. Pickman"
1,27,177,179,1876,10.1155/1876/72874,Synoptical Tables for determining N. A. Insects. Orthropoda—U. S. Forficulariae,"Gissler, C. F."
1,20,125,128,1875,10.1155/1875/75202,Bibliographical Record,"Mann, B. Pickman"
1,8,31,31,1874,10.1155/1874/76273,English Names for Butterflies,"Scudder, S. H."
1,27,179,183,1876,10.1155/1876/76458,Bibliographical Record,"Mann, B. Pickman"
1,5,18,19,1874,10.1155/1874/78519,Early Spring Butterflies at the White Mountains,"Scudder, S. H."
1,32,246,248,1876,10.1155/1876/78495,Correction of Errors Detected,
1,21,131,131,1876,10.1155/1876/79764,Arctic Lepidoptera in the White Mountains,"Grote, A. R."
1,28,188,192,1876,10.1155/1876/81230,Bibliographical Record,"Mann, B. Pickman"
1,14,76,77,1875,10.1155/1875/82191,On the Insect Founa of the White Mountains,"Grote, A. R."
1,22,137,140,1876,10.1155/1876/83538,Odoriferous Glands in Phasmidae,"Scudder, Samuel H."
1,2,7,8,1874,10.1155/1874/83658,Bibliographical Record,"Mann, B. Pickman"
1,9,34,35,1875,10.1155/1875/84609,Summer Butterflies at the White Mountains,"Morrison, H. K."
1,29,194,195,1876,10.1155/1876/84793,Notes on Attaci,"Thaxter, R."
1,15,81,84,1875,10.1155/1875/85854,The Introduction of Danaida Plexippus into the Pacific Islands,"Scudder, Samuel H."
1,1,1,2,1874,10.1155/1874/86927,Introductory,"Mann, B. Pickman"
1,22,140,143,1876,10.1155/1876/87120,Bibliographical Record,"Mann, B. Pickman"
1,21,131,132,1876,10.1155/1876/87241,Chrysalis With Attached Larval Head,"Scudder, Samuel H."
1,9,40,40,1875,10.1155/1875/89181,English Names of Butterflies,
1,30,201,205,1876,10.1155/1876/89365,Entomology at the Centennial Exhibition,"Dimmock, Geo"
1,15,86,88,1875,10.1155/1875/90527,Bibliographicl Record,"Mann, B. Pickman"
1,1,3,4,1874,10.1155/1874/91598,Bibliographical Record,"Mann, B. Pickman"
1,23,145,148,1876,10.1155/1876/91782,List of Coleoptera Collected in Michigan in 1874,"Schwarz, E. A."
1,10,43,44,1875,10.1155/1875/92845,English Names for Butterflies,"Scudder, S H."
1,31,209,214,1876,10.1155/1876/93039,Synoptical Tables for Determining N. A. Insects. Scorpiones,"Mann, B. Pickman"
1,16,93,94,1875,10.1155/1875/94098,The Note of the Katydid,"Scudder, Samuel H."
1,2,7,7,1874,10.1155/1874/95171,Collecting in the White Mountains,"Scudder, Samuel H."
1,23,152,152,1876,10.1155/1876/95354,Pieris Rapae in Mid-ocean,"Scudder, Samuel H."
1,10,44,48,1875,10.1155/1875/96417,Biblographical Record,"Mann, B. Pickman"
1,31,214,216,1876,10.1155/1876/96702,Bibliographical Record,"Mann, B. Pickman"
1,16,96,96,1875,10.1155/1875/97671,Proceedings of the Club,
1,3,10,11,1874,10.1155/1874/98734,English Names for Butterflies,"Scudder, S. H."
2,65-68,297,299,1879,10.1155/1879/48758,Correction of Errors Detected,
2,45-46,97,116,1878,10.1155/1878/97946,Recent Progress of Entomology in North America,"Scudder, Samuel H."
2,58,214,216,1879,10.1155/1879/95629,Bibliographical Record,
2,43-44,87,89,1877,10.1155/1877/94283,On the Structure of the Head of Atropos,"Burgess, Edward"
